time,input,output
0,1.0,0.0
1,0.0,0.2548640942228957
2,0.0,-0.5097281884457061
3,0.0,0.0
4,0.0,0.0
5,0.0,-0.5097281884457061
6,0.0,0.0
7,0.0,0.0
8,0.0,-0.5097281884457061
9,0.0,-0.7645922826686018
10,0.0,-0.5097281884457061
11,1.0,-0.7645922826686018
12,0.0,0.0
13,1.0,-0.2548640942228957
14,0.0,-0.5097281884457061
15,0.0,-0.2548640942228957
16,0.0,-0.7645922826686018
17,0.0,-0.7645922826686018
18,1.0,-0.2548640942228957
19,1.0,-0.5097281884457061
20,0.0,0.0
21,0.0,0.0
22,1.0,-0.7645922826686018
23,1.0,0.0
24,1.0,-0.5097281884457061
25,1.0,-0.7645922826686018
26,1.0,-0.7645922826686018
27,1.0,0.2548640942228957
28,1.0,-0.5097281884457061
29,1.0,-0.2548640942228957
30,1.0,-0.2548640942228957
31,1.0,0.5097281884457061
32,1.0,0.0
33,1.0,0.2548640942228957
34,1.0,0.7645922826686018
35,1.0,0.2548640942228957
36,1.0,0.5097281884457061
37,1.0,0.7645922826686018
38,1.0,1.2743204711142937
39,1.0,0.7645922826686018
40,1.0,0.7645922826686018
41,1.0,0.7645922826686018
42,1.0,1.7840486595599998
43,1.0,2.038912753782796
44,1.0,1.2743204711142937
45,1.0,2.293776848005706
46,1.0,1.5291845653371041
47,1.0,2.548640942228502
48,1.0,2.548640942228502
49,1.0,2.293776848005706
50,1.0,3.0583691306742935
51,1.0,2.548640942228502
52,1.0,2.548640942228502
53,1.0,3.313233224897104
54,1.0,3.5680973191199996
55,1.0,3.5680973191199996
56,1.0,3.0583691306742935
57,1.0,3.313233224897104
58,1.0,4.077825507565706
59,1.0,3.822961413342796
60,1.0,4.842417790234194
61,1.0,4.587553696011398
62,1.0,4.332689601788502
63,1.0,5.352145978679999
64,1.0,4.587553696011398
65,1.0,4.842417790234194
66,1.0,5.607010072902796
67,1.0,6.116738261348502
68,1.0,6.116738261348502
69,1.0,5.607010072902796
70,1.0,5.607010072902796
71,1.0,6.371602355571397
72,1.0,6.626466449794194
73,1.0,6.116738261348502
74,1.0,7.1361946382399
75,1.0,7.1361946382399
76,1.0,7.391058732462795
77,1.0,7.391058732462795
78,1.0,7.645922826685705
79,1.0,7.1361946382399
80,1.0,8.155651015131397
81,1.0,7.645922826685705
82,1.0,8.155651015131397
83,1.0,8.410515109354193
84,1.0,8.9202432977999
85,1.0,9.175107392022795
86,1.0,8.9202432977999
87,1.0,9.684835580468501
88,1.0,9.175107392022795
89,1.0,9.175107392022795
90,1.0,9.939699674691298
91,1.0,10.449427863137103
92,1.0,9.939699674691298
93,1.0,10.449427863137103
94,1.0,10.7042919573599
95,1.0,10.194563768914207
96,1.0,10.7042919573599
97,1.0,10.959156051582795
98,1.0,10.959156051582795
99,1.0,11.468884240028501
100,1.0,11.723748334251297
101,1.0,11.723748334251297
102,1.0,11.468884240028501
103,1.0,11.468884240028501
104,1.0,11.468884240028501
105,1.0,12.4883406169199
106,1.0,12.743204711142695
107,1.0,12.233476522697003
108,1.0,12.998068805365605
109,1.0,12.4883406169199
110,1.0,12.743204711142695
111,1.0,12.998068805365605
112,1.0,13.762661088034207
113,1.0,13.762661088034207
114,1.0,13.252932899588501
115,1.0,13.762661088034207
116,1.0,13.762661088034207
117,1.0,13.762661088034207
118,1.0,14.017525182257003
119,1.0,14.527253370702695
120,1.0,14.527253370702695
121,1.0,15.0369815591485
122,1.0,14.782117464925605
123,1.0,14.782117464925605
124,1.0,14.782117464925605
125,1.0,15.546709747594207
126,1.0,16.0564379360399
127,1.0,15.546709747594207
128,1.0,16.0564379360399
129,1.0,15.546709747594207
130,1.0,16.0564379360399
131,1.0,16.566166124485605
132,1.0,16.8210302187085
133,1.0,16.311302030262695
134,1.0,16.566166124485605
135,1.0,17.330758407154207
136,1.0,16.566166124485605
137,1.0,17.075894312931297
138,1.0,17.585622501377003
139,1.0,17.8404865955999
140,1.0,18.095350689822695
141,1.0,18.350214784045605
142,1.0,18.350214784045605
143,1.0,18.350214784045605
144,1.0,18.6050788782684
145,1.0,18.095350689822695
146,1.0,19.114807066714107
147,1.0,19.114807066714107
148,1.0,18.6050788782684
149,1.0,19.114807066714107
150,1.0,18.859942972491297
151,1.0,19.879399349382695
152,1.0,20.3891275378284
153,1.0,19.6245352551599
154,1.0,19.6245352551599
155,1.0,19.879399349382695
156,1.0,20.643991632051296
157,1.0,20.643991632051296
158,1.0,20.643991632051296
159,1.0,20.643991632051296
160,1.0,21.153719820497003
161,1.0,20.898855726274107
162,1.0,21.4085839147198
163,1.0,21.4085839147198
164,1.0,21.153719820497003
165,1.0,21.4085839147198
166,1.0,21.4085839147198
167,1.0,21.663448008942694
168,1.0,21.663448008942694
169,1.0,22.428040291611296
170,1.0,22.428040291611296
171,1.0,22.428040291611296
172,1.0,22.937768480057002
173,1.0,22.428040291611296
174,1.0,22.682904385834107
175,1.0,23.1926325742798
176,1.0,23.702360762725505
177,1.0,23.1926325742798
178,1.0,23.9572248569485
179,1.0,23.447496668502694
180,1.0,23.702360762725505
181,1.0,23.702360762725505
182,1.0,23.702360762725505
183,1.0,24.466953045394504
184,1.0,24.212088951171495
185,1.0,24.212088951171495
186,1.0,24.212088951171495
187,1.0,24.594385092505505
188,1.0,24.466953045394504
189,1.0,24.594385092505505
190,1.0,25.231545328062495
191,1.0,25.358977375174504
192,1.0,25.486409422285504
193,1.0,25.486409422285504
194,1.0,25.231545328062495
195,1.0,25.486409422285504
196,1.0,25.486409422285504
197,1.0,25.486409422285504
198,1.0,25.7412735165085
199,1.0,26.505865799176505
200,1.0,25.996137610731495
201,1.0,25.996137610731495
202,1.0,26.7607298933995
203,1.0,27.015593987622495
204,1.0,26.7607298933995
205,1.0,26.7607298933995
206,1.0,27.5253221760685
207,1.0,27.270458081845504
208,1.0,27.015593987622495
209,1.0,27.270458081845504
210,1.0,28.035050364514504
211,1.0,27.5253221760685
212,1.0,28.035050364514504
213,1.0,28.5447785529595
214,1.0,28.035050364514504
215,1.0,28.035050364514504
216,1.0,28.5447785529595
217,1.0,28.289914458736504
218,1.0,28.5447785529595
219,1.0,28.799642647182495
220,1.0,29.3093708356285
221,1.0,29.054506741405504
222,1.0,29.819099024074504
223,1.0,29.819099024074504
224,1.0,29.564234929851494
225,1.0,29.819099024074504
226,1.0,30.3288272125195
227,1.0,30.3288272125195
228,1.0,30.583691306742494
229,1.0,30.073963118296504
230,1.0,30.3288272125195
231,1.0,30.838555400965504
232,1.0,30.583691306742494
233,1.0,30.838555400965504
234,1.0,30.838555400965504
235,1.0,31.0934194951885
236,1.0,31.603147683634504
237,1.0,31.0934194951885
238,1.0,31.603147683634504
239,1.0,31.858011777856504
240,1.0,32.1128758720795
241,1.0,31.858011777856504
242,1.0,32.367739966302494
243,1.0,32.1128758720795
244,1.0,32.367739966302494
245,1.0,32.367739966302494
246,1.0,32.8774681547485
247,1.0,32.622604060525504
248,1.0,33.3871963431945
249,1.0,32.622604060525504
250,1.0,33.642060437416504
251,1.0,33.642060437416504
252,1.0,33.132332248971494
253,1.0,33.8969245316395
254,1.0,33.3871963431945
255,1.0,34.4066527200855
256,1.0,34.4066527200855
257,1.0,33.642060437416504
258,1.0,34.4066527200855
259,1.0,34.4066527200855
260,1.0,34.916380908531494
261,1.0,34.151788625862494
262,1.0,34.916380908531494
263,1.0,34.6615168143085
264,1.0,35.426109096976504
265,1.0,35.1712450027545
266,1.0,35.1712450027545
267,1.0,35.6809731911995
268,1.0,35.935837285422494
269,1.0,35.426109096976504
270,1.0,36.1907013796455
271,1.0,35.6809731911995
272,1.0,36.4455654738685
273,1.0,35.935837285422494
274,1.0,36.4455654738685
275,1.0,36.1907013796455
276,1.0,36.9552936623145
277,1.0,36.9552936623145
278,1.0,37.2101577565365
279,1.0,36.9552936623145
280,1.0,36.9552936623145
281,1.0,37.4650218507595
282,1.0,37.2101577565365
283,1.0,37.2101577565365
284,1.0,37.4650218507595
285,1.0,37.9747500392055
286,1.0,37.4650218507595
287,1.0,37.4650218507595
288,1.0,37.9747500392055
289,1.0,38.48447822765149
290,1.0,38.48447822765149
291,1.0,37.9747500392055
292,1.0,38.739342321873494
293,1.0,38.2296141334285
294,1.0,38.739342321873494
295,1.0,38.739342321873494
296,1.0,38.739342321873494
297,1.0,39.50393460454249
298,1.0,38.739342321873494
299,1.0,39.7587986987655
300,1.0,39.50393460454249
301,1.0,39.2490705103195
302,1.0,39.7587986987655
303,1.0,39.50393460454249
304,1.0,40.26852688721151
305,0.0,39.7587986987655
306,1.0,39.50393460454249
307,1.0,39.7587986987655
308,1.0,40.0136627929885
309,1.0,39.7587986987655
310,1.0,41.0331191698795
311,0.0,40.7782550756565
312,0.0,40.7782550756565
313,0.0,41.0331191698795
314,0.0,40.523390981433494
315,0.0,40.7782550756565
316,0.0,40.7782550756565
317,0.0,41.5428473583255
318,0.0,40.7782550756565
319,0.0,41.0331191698795
320,0.0,41.0331191698795
